Entity,Type,URL
Harvard Kennedy School,Research,https://www.hks.harvard.edu/research-insights/publications
Harvard Kennedy School,Research,https://www.hks.harvard.edu/research-insights/research-publications
Harvard Kennedy School,Events,https://www.hks.harvard.edu/events/week
Oxford Blavatnik,Research,https://www.bsg.ox.ac.uk/research
Oxford Blavatnik,Research,https://www.bsg.ox.ac.uk/research/research-and-policy-updates
Oxford Blavatnik,Events,https://www.bsg.ox.ac.uk/events
Lee Kuan Yew School,Research,https://lkyspp.nus.edu.sg/research
Lee Kuan Yew School,Research,https://lkyspp.nus.edu.sg/research/publications
Lee Kuan Yew School,Research,https://lkyspp.nus.edu.sg/gia
Lee Kuan Yew School,Events,https://lkyspp.nus.edu.sg/news-events/news
Brookings,Research,https://www.brookings.edu/research/
Brookings,Events,https://www.brookings.edu/events/
Chatham House,Research,https://www.chathamhouse.org/research
Chatham House,Events,https://www.chathamhouse.org/events/upcoming
RAND,Research,https://www.rand.org/pubs/new.html
RAND,Research,https://www.rand.org/pubs.html
RAND,Events,https://www.rand.org/events.html
RAND,Events,https://www.rand.org/events/policy-labs.html
